province,cons_no,cons_code,ballot_no,candidate_name,party,resign
กรุงเทพมหานคร,11,กรุงเทพมหานคร.11,6,นายพงศกร ตันติพรหม,ไทยภักดี,
กรุงเทพมหานคร,11,กรุงเทพมหานคร.11,7,นางสาวรัตติกาล แก้วเกิดมี,เพื่อไทย,
กรุงเทพมหานคร,11,กรุงเทพมหานคร.11,8,นายธีระเดช นาซีก,กล้าธรรม,
กรุงเทพมหานคร,11,กรุงเทพมหานคร.11,9,นางสาวธนาภา อัครมะหะเวทน์,ประชากรไทย,
กรุงเทพมหานคร,11,กรุงเทพมหานคร.11,10,นาวาอากาศเอก (พิเศษ) นที คชทิน,พลวัต,
กรุงเทพมหานคร,11,กรุงเทพมหานคร.11,11,ว่าที่ร้อยตรี เทวิน พิมพ์พันธุ์,อนาคตไทย,
กรุงเทพมหานคร,11,กรุงเทพมหานคร.11,12,นายธนธรรม เจิดรังษี,เศรษฐกิจ,
กรุงเทพมหานคร,11,กรุงเทพมหานคร.11,13,นายเอกภพ เหลืองประเสริฐ,ภูมิใจไทย,
กรุงเทพมหานคร,11,กรุงเทพมหานคร.11,14,นางสาวรมิดา อินทะแพทย์,ประชาธิปัตย์,
กรุงเทพมหานคร,11,กรุงเทพมหานคร.11,15,นางสาวศศินันท์ ธรรมนิฐินันท์,ประชาชน,
กรุงเทพมหานคร,11,กรุงเทพมหานคร.11,16,นายชนะ ยาดี,เพื่อบ้านเมือง,
กรุงเทพมหานคร,11,กรุงเทพมหานคร.11,17,ว่าที่ร้อยโท จักร์ บุนนาค,โอกาสใหม่,
กรุงเทพมหานคร,11,กรุงเทพมหานคร.11,18,นายภูริจิวัจน์ วชิรวณิชกิจ,วิชชั่นใหม่,
กรุงเทพมหานคร,12,กรุงเทพมหานคร.12,1,นางสาวณัฎฐามณี คณโชติพิพัฒน์,ประชาธิปไตยใหม่,
กรุงเทพมหานคร,12,กรุงเทพมหานคร.12,2,นางสาวจิดาภา วิไลวรางกูร,ไทยก้าวใหม่,
กรุงเทพมหานคร,12,กรุงเทพมหานคร.12,3,นายพิเชฐ เดชอรัญ,โอกาสใหม่,
กรุงเทพมหานคร,12,กรุงเทพมหานคร.12,4,นางสาวอิสรีย์ อัศวรากาญจน์,รักชาติ,
กรุงเทพมหานคร,12,กรุงเทพมหานคร.12,5,นางสาวณัฐธยาน์ สิงห์คำนาราภูมิ,ประชากรไทย,
กรุงเทพมหานคร,12,กรุงเทพมหานคร.12,6,นางพิมชนก เก่าเจริญ,ประชาธิปัตย์,
กรุงเทพมหานคร,12,กรุงเทพมหานคร.12,7,นางศิริวรรณ พงษ์พานิชย์,ไทยสร้างไทย,
กรุงเทพมหานคร,12,กรุงเทพมหานคร.12,8,นางสาวปราณิสา สุดวิเศษ,พลวัต,
กรุงเทพมหานคร,12,กรุงเทพมหานคร.12,9,นางสาวนพวรรณ หัวใจมั่น,พลังประชารัฐ,
กรุงเทพมหานคร,12,กรุงเทพมหานคร.12,10,นายพุฒิพัฒน์ ธีรสกุลสิทธิ์,ปวงชนไทย,
กรุงเทพมหานคร,12,กรุงเทพมหานคร.12,11,นายธนกฤต ธนิศราพงศ์,รวมไทยสร้างชาติ,
กรุงเทพมหานคร,12,กรุงเทพมหานคร.12,12,นายภูร์ผา ไทยแท้,เพื่อไทย,
กรุงเทพมหานคร,12,กรุงเทพมหานคร.12,13,นางศลิษา สิงหเสนี,ภูมิใจไทย,
กรุงเทพมหานคร,12,กรุงเทพมหานคร.12,14,นางสาวกรกมล บุญเฉย,เศรษฐกิจ,
กรุงเทพมหานคร,12,กรุงเทพมหานคร.12,15,นายภูริวรรธก์ ใจสำราญ,ประชาชน,
กรุงเทพมหานคร,12,กรุงเทพมหานคร.12,16,นายนนท์ปวิธ แก้วงาม,กล้าธรรม,
กรุงเทพมหานคร,13,กรุงเทพมหานคร.13,1,นางสาวรุ่งนภา ทองประคำ,เศรษฐกิจ,
กรุงเทพมหานคร,13,กรุงเทพมหานคร.13,2,นายแมน เจริญวัลย์,เพื่อไทย,
กรุงเทพมหานคร,13,กรุงเทพมหานคร.13,3,นายศุกล กุลสิงห์,ภูมิใจไทย,
กรุงเทพมหานคร,13,กรุงเทพมหานคร.13,4,นายอนุศักดิ์ กาญจนี,พลวัต,
กรุงเทพมหานคร,13,กรุงเทพมหานคร.13,5,นายศุรุท เกษมณีภูรเดช,โอกาสใหม่,
กรุงเทพมหานคร,13,กรุงเทพมหานคร.13,6,นายธัญญะ เมษประสาท,ปวงชนไทย,
กรุงเทพมหานคร,13,กรุงเทพมหานคร.13,7,เรืออากาศโท ธนเดช เพ็งสุข,ประชาชน,
กรุงเทพมหานคร,13,กรุงเทพมหานคร.13,8,นายภาณุพงศ์ ลักษณวิศิษฏ์,ประชาธิปัตย์,
กรุงเทพมหานคร,13,กรุงเทพมหานคร.13,9,นายฐิติพัฒณ์ จันทร์แก้ว,รักชาติ,
กรุงเทพมหานคร,13,กรุงเทพมหานคร.13,10,นายเตชสิทธิ์ ดนตรีรักษ์,กล้าธรรม,ไม่รับสมัคร
กรุงเทพมหานคร,13,กรุงเทพมหานคร.13,11,นายกฤษฎ์ เครือเจริญพร,รวมไทยสร้างชาติ,
กรุงเทพมหานคร,13,กรุงเทพมหานคร.13,12,นายสมบัติ มหาโคตร,พลังประชารัฐ,
กรุงเทพมหานคร,13,กรุงเทพมหานคร.13,13,นายดนัย อินทรพยุง,ไทยก้าวใหม่,
กรุงเทพมหานคร,13,กรุงเทพมหานคร.13,14,นางสาวทิฆัมพร อัศวสิรินิมิต,ไทยสร้างไทย,
