province,prov_id,cons_id,cons_no,zones,registered_voters,ref_turnout,ref_turnout_pct,ref_valid,ref_valid_pct,ref_invalid,ref_invalid_pct,yes_votes,yes_pct,no_votes,no_pct,abstained,abstained_pct,counted_stations,count_pct
ปทุมธานี,PTE,PTE_6,6,"อำเภอลำลูกกา (เฉพาะบึงคำพร้อย ลาดสวาย), อำเภอธัญบุรี (เฉพาะบึงยี่โถ)",122393,85812,70.11,84844,98.87,968,1.13,59847,70.54,20523,24.19,4474,5.27,143,94.7
ปทุมธานี,PTE,PTE_7,7,"อำเภอคลองหลวง (ยกเว้นคลองสาม คลองหนึ่ง คลองสอง), อำเภอหนองเสือ (เฉพาะบึงบอน บึงชำอ้อ), อำเภอธัญบุรี (เฉพาะรังสิต ลำผักกูด)",121843,87315,71.66,85658,98.1,1657,1.9,57688,67.35,21183,24.73,6787,7.92,174,94.57
ปทุมธานี,PTE,PTE_8,8,"อำเภอหนองเสือ (ยกเว้นบึงบอน บึงชำอ้อ), อำเภอลำลูกกา (ยกเว้นลาดสวาย คูคต), อำเภอธัญบุรี (เฉพาะบึงสนั่น บึงน้ำรักษ์)",122403,81031,66.2,79237,97.79,1794,2.21,50045,63.16,21954,27.71,7238,9.13,175,94.59
พระนครศรีอยุธยา,AYA,AYA_1,1,"อำเภอพระนครศรีอยุธยา, อำเภอบางบาล",140188,102901,73.4,100437,97.61,2464,2.39,62333,62.06,29393,29.27,8711,8.67,225,94.94
พระนครศรีอยุธยา,AYA,AYA_2,2,"อำเภอท่าเรือ, อำเภอนครหลวง, อำเภอบางปะหัน, อำเภอมหาราช, อำเภอบ้านแพรก",128589,95586,74.33,92797,97.08,2789,2.92,55554,59.87,27302,29.42,9941,10.71,220,94.83
พระนครศรีอยุธยา,AYA,AYA_3,3,"อำเภอภาชี, อำเภอวังน้อย, อำเภออุทัย",136493,100185,73.4,97746,97.57,2439,2.43,63620,65.09,24926,25.5,9200,9.41,204,94.88
พระนครศรีอยุธยา,AYA,AYA_4,4,"อำเภอบางไทร, อำเภอบางปะอิน",139523,99911,71.61,97581,97.67,2330,2.33,62394,63.94,26158,26.81,9029,9.25,217,94.76
พระนครศรีอยุธยา,AYA,AYA_5,5,"อำเภอผักไห่, อำเภอลาดบัวหลวง, อำเภอเสนา, อำเภอบางซ้าย",133055,97328,73.15,94353,96.94,2975,3.06,58060,61.53,26462,28.05,9831,10.42,225,94.94
อ่างทอง,ATG,ATG_1,1,"อำเภอเมืองอ่างทอง, อำเภอป่าโมก, อำเภอวิเศษชัยชาญ (ยกเว้นสาวร้องไห้ ม่วงเตี้ย)",111666,79402,71.11,76843,96.78,2559,3.22,44347,57.71,24513,31.9,7983,10.39,234,94.74
อ่างทอง,ATG,ATG_2,2,"อำเภอไชโย, อำเภอโพธิ์ทอง, อำเภอแสวงหา, อำเภอวิเศษชัยชาญ (เฉพาะสาวร้องไห้ ม่วงเตี้ย), อำเภอสามโก้",112423,79871,71.05,77148,96.59,2723,3.41,44164,57.25,24481,31.73,8503,11.02,241,94.88
ลพบุรี,LRI,LRI_1,1,"อำเภอโคกสำโรง, อำเภอเมืองลพบุรี (เฉพาะกกโก ถนนใหญ่ เขาสามยอด เขาพระงาม โคกตูม นิคมสร้างตนเอง)",151712,98777,65.11,95258,96.44,3519,3.56,55114,57.86,30375,31.89,9769,10.26,244,94.94
ลพบุรี,LRI,LRI_2,2,"อำเภอเมืองลพบุรี (ยกเว้นกกโก ถนนใหญ่ เขาสามยอด เขาพระงาม โคกตูม นิคมสร้างตนเอง), อำเภอท่าวุ้ง",149672,108214,72.3,104709,96.76,3505,3.24,59753,57.07,34138,32.6,10818,10.33,252,94.74
ลพบุรี,LRI,LRI_3,3,"อำเภอชัยบาดาล (เฉพาะชัยนารายณ์ ศิลาทิพย์ ห้วยหิน ม่วงค่อม มะกอกหวาน นิคมลำนารายณ์ บ้านใหม่สามัคคี), อำเภอบ้านหมี่, อำเภอสระโบสถ์, อำเภอโคกเจริญ, อำเภอหนองม่วง",145648,95657,65.68,92472,96.67,3185,3.33,54709,59.16,28630,30.96,9133,9.88,270,94.74
