province,cons_no,cons_code,no_1,name_1,party_1,no_2,name_2,party_2,no_3,name_3,party_3,no_4,name_4,party_4,no_5,name_5,party_5,no_6,name_6,party_6,no_7,name_7,party_7,no_8,name_8,party_8,no_9,name_9,party_9,no_10,name_10,party_10,no_11,name_11,party_11,no_12,name_12,party_12,no_13,name_13,party_13,no_14,name_14,party_14,no_15,name_15,party_15,no_16,name_16,party_16,no_17,name_17,party_17,no_18,name_18,party_18,no_19,name_19,party_19
อุบลราชธานี,2,อุบลราชธานี.02,1,นายวุฒิพงษ์ นามบุตร,กล้าธรรม,2,นายประเสริฐ เผ่าพันธ์,ภูมิใจไทย,3,นายประสพ สารสมัคร,เพื่อไทย,4,นายปรีชญา ฉ่ำมณี,ประชาชน,5,นายณรงค์ชัย วีระกุล,ไทรวมพลัง,6,นายวิทยา ครองยุติ,ประชาธิปไตยใหม่,7,เรืออากาศตรี ประจวบ ทรัพย์สะอาด,พลังประชารัฐ,8,นางสาวณฐพร บุญประสิทธิ์,ประชาธิปัตย์,9,นายเจริญชัย คำแฝง,เศรษฐกิจ,10,นายธัชชัย คมขำ,ไทยก้าวใหม่,,,,,,,,,,,,,,,,,,,,,,,,,,,
อุบลราชธานี,3,อุบลราชธานี.03,1,นางพิมพกาญจน์ พลสมัคร,ไทรวมพลัง,2,นางสาวณัฐนันท์ รัตโน,เพื่อไทย,3,นายปรเมธ ศรีหล้า,ประชาชน,4,นายอธิปไตย ศุ้ย ศรีมงคล,ไทยก้าวหน้า,5,นายจิรศักดิ์ ขันอาสา,ภูมิใจไทย,6,นางสาวพรปนัดดา ทวีดี,รวมไทยสร้างชาติ,7,นายลำชี มะโนรัตน์,เพื่อบ้านเมือง,8,นายตรัยรัตน์ สาละมุล,ประชาธิปัตย์,9,นายมิตร อนุวรรณ,ทางเลือกใหม่,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
อุบลราชธานี,4,อุบลราชธานี.04,1,นางสาวกิตติ์ธัญญา วาจาดี,เพื่อไทย,2,นายเข็มทอง แก้วเนตร,พลังประชารัฐ,3,นางสาวพุทธชาด จินตะเวช,ประชาชน,4,นายรินไท มุ่งมาจน,สัมมาธิปไตย,5,นายณัฐพงศ์ บุญทวี,ประชาธิปัตย์,6,นายสุพล ฟองงาม,กล้าธรรม,7,นายอภิชาติ วรโชติวิวรรธน์,ไทยสร้างไทย,8,นางสุพัฒน์ นามมุงคุณ,ทางเลือกใหม่,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
อุบลราชธานี,5,อุบลราชธานี.05,1,นายพร้อมพงศ์ สิถิลวัลย์,ประชาชน,2,นายสุทธิชัย จรูญเนตร,ภูมิใจไทย,3,นายบุญสอน สามัคคี,ประชาธิปัตย์,4,นายรัฐกิตติ์ ผาลีพัฒน์,กล้าธรรม,5,นายอธิปัตย์ สืบศิรินุกูล,เพื่อไทย,6,นางสาววิยดา พรหมทอง,พลังประชารัฐ,7,นางสาวหนูดา มัฐผา,ทางเลือกใหม่,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
อุบลราชธานี,6,อุบลราชธานี.06,1,นางสาวอุบลกาญจน์ อมรสิน,ภูมิใจไทย,2,นายกิตติกร เชิดชู,ไทรวมพลัง,3,นางสาวธัญธารีย์ สันตพันธุ์,เพื่อไทย,4,นายชาญ การเพียร,ประชาธิปัตย์,5,นายศิระ พันธ์ทอง,ประชาชน,6,นายฐาปนัฐ แสงสุกวาว,ประชาธิปไตยใหม่,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
อุบลราชธานี,7,อุบลราชธานี.07,1,นางสาวสุดารัตน์ พิทักษ์พรพัลลภ,ภูมิใจไทย,2,นายชุติมันต์ ปานเพชร,ประชาธิปัตย์,3,นายมานะ แรงมูลพฤกษ์,แผ่นดินธรรม,4,นายไพฑูรย์ จันทะยา,ประชาชน,5,นายเชิดศักดิ์ โภคกุลกานนท์,เพื่อไทย,6,นางสาวชุพวัล สำราญพงษ์,พลังประชารัฐ,7,นายก้องชายแดน พินธุรักษ์,ประชากรไทย,8,นายชาญณรงค์เดช อยู่สุข,ไทยก้าวใหม่,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
อุบลราชธานี,8,อุบลราชธานี.08,1,นายวชิรวิทย์ ธนวัฒน์กิจโภคิน,ประชาชน,2,นายบรรหาร ศรีบุระ,ไทรวมพลัง,3,นางสาวแนน บุณย์ธิดา สมชัย,ภูมิใจไทย,4,นางสาวจิตภินันท์ วงษ์ขันธ์,เพื่อไทย,5,นายเสกสรรค์ กอคูณ,เศรษฐกิจ,6,นายประวิทย์ แก้วใส,รวมไทยสร้างชาติ,7,นางใบแก้ว โคตรแสง,ประชาธิปไตยใหม่,8,นางสาวณัฏฐณิชา วันดึก,เพื่อบ้านเมือง,9,นายดลเดช แก้วใส,ประชาธิปัตย์,10,นางสาวแจ่มใจ ประสมสัตว์,ทางเลือกใหม่,,,,,,,,,,,,,,,,,,,,,,,,,,,
อุบลราชธานี,9,อุบลราชธานี.09,1,นายประภูศักดิ์ จินตะเวช,เพื่อไทย,2,นางสาววิจิตรา สัตยากูล,ภูมิใจไทย,3,นางจิตรวรรณ หวังศุภกิจโกศล,ไทรวมพลัง,4,นางรำพูล ตันติวณิชชานนท์,กล้าธรรม,5,นายกฤติน มักเรียน,ประชาชน,6,นายสุพจน์ วรรณสุข,ประชาธิปัตย์,7,นายธีระ พุฒพิพักตร์,พลังประชารัฐ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
อุบลราชธานี,10,อุบลราชธานี.10,1,นายเกษม ฉิมพลี,ภูมิใจไทย,2,นายสมศักดิ์ บุญประชม,ไทรวมพลัง,3,นายวัชรพล เชื้อคง,เพื่อไทย,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,6,นายยิ่ง ภูผา,ประชาธิปัตย์,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
อุบลราชธานี,11,อุบลราชธานี.11,1,นายเรืองศรี ตรีราช,รวมไทยสร้างชาติ,2,นายอำไพ เฉลิมสุข,ประชาธิปัตย์,3,นางสาวตวงทิพย์ จินตะเวช,ภูมิใจไทย,4,นางอุบล สิมมา,เพื่อไทย,5,นายสมมาตร มะลิลา,กล้าธรรม,6,นายธีรศักดิ์ วีระจินตวงศ์,ประชาชน,7,นายสุริยา ขันอาสา,ไทยสร้างไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
อ่างทอง,1,อ่างทอง.01,1,นายณษกร เครือศิริ,เพื่อไทย,2,นายธโนดม โสขุมา,ประชาชน,3,นายพณศธร อยู่ประเสริฐ,กล้าธรรม,4,นายภราดร ปริศนานันทกุล,ภูมิใจไทย,5,นางสาวภัทรสุดา บุษรานันท์,ประชาธิปัตย์,6,พันเอก พิทักษ์ ทิพมาศ,พลังประชารัฐ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
อ่างทอง,2,อ่างทอง.02,1,นายสาโรจน์ ฉ่ำจิตร,ประชาชน,2,นายกรวีร์ ปริศนานันทกุล,ภูมิใจไทย,3,นายชวกร ศรีราชา,เพื่อไทย,4,นายอนุรักษ์ อมรเมตตาจิต,ประชาธิปัตย์,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
เชียงราย,1,เชียงราย.01,1,นายชิตวัน ชินอนุวัฒน์,ประชาชน,2,นายนิติธร สมสิทธิ์,ภูมิใจไทย,3,นายธเนตร ติ๊บโท๊ะ,โอกาสใหม่,4,นายสมนึก ใจจักร์,รวมไทยสร้างชาติ,5,นายไอใจ ปู่หมื่อ,ประชาธิปัตย์,6,นายวุฒิชาติ เกรียงเกษร,กล้าธรรม,7,นายธนรัช จงสุทธานามณี,เพื่อไทย,8,นายธนัยรัชต์ ศรีโชติ,ปวงชนไทย,9,นายเอกนิสิต ศรีแก้ว,พลวัต,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
เชียงราย,2,เชียงราย.02,1,นายพงษ์พณิช อันพาพรม,ท้องที่ไทย,2,นางสาวปิยะรัฐชย์ ติยะไพรัช,เพื่อไทย,3,นายหาญ ดอนลาว,ประชาธิปัตย์,4,นายทรงพล ชีวินมหาชัย,กล้าธรรม,5,นางสาวช่อพฤกษา อุดมทรัพย์,ภูมิใจไทย,6,นายอุทิศ มณีจันสุข,ประชาชน,7,นายประเวช ราชชมภู,รวมไทยสร้างชาติ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
เชียงราย,3,เชียงราย.03,1,นายอาคม จันต๊ะมา,รวมไทยสร้างชาติ,2,นายเรืองฤทธิ์ พวกอินแสง,ประชาธิปัตย์,3,นายพิทักษ์ แสงคำ,กล้าธรรม,4,นายประเวศน์ รวีโอภาส,ภูมิใจไทย,5,นายฐากูร ยะแสง,ประชาชน,6,นายวิสาร เตชะธีราวัฒน์,เพื่อไทย,7,นายสมชาติ ขวัญชัย,พลังประชารัฐ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
เชียงราย,4,เชียงราย.04,1,นายสุรสิทธิ์ เจียมวิจักษณ์,กล้าธรรม,2,นายธรรมวัตร พรมเสน,ประชาชน,3,นายสหการ เขื่อนแปด,ประชาธิปัตย์,4,นางสาววิสาระดี เตชะธีราวัฒน์,เพื่อไทย,5,นายชาติบัญชา จำปาเจียม,พลวัต,6,นายอินตา เมืองมูล,รวมไทยสร้างชาติ,7,นายเทียม เทพแสน,ภูมิใจไทย,8,นายวัชรพงศ์ ปิโย,โอกาสใหม่,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
เชียงราย,5,เชียงราย.05,1,นายเทอดชาติ ชัยพงษ์,เพื่อไทย,2,นายรังสรรค์ วันไชยธนวงศ์,ภูมิใจไทย,3,นายนาวิน วังแปง,ประชาชน,4,นายพันธวัช ภูผาพันธกานต์,พลวัต,5,นายนิกร จันทร์หอม,รวมไทยสร้างชาติ,6,นายสุรชาติ ผิวแดง,ประชาธิปัตย์,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
เชียงราย,6,เชียงราย.06,1,นางจุฬาลักษณ์ ขันสุธรรม,ประชาชน,2,นายธวัชชัย อภิวงค์,รวมไทยสร้างชาติ,3,นายอนันต์ แพทยานนท์,พลังประชารัฐ,4,นายชัยยนต์ ศรีสมุทร,เพื่อไทย,5,นางภัทรวัลย์ ผลไพบูลย์,พลวัต,6,นายกฤษฎ์ชัยณัช วงศ์สมพฤกษ์,ประชาธิปัตย์,7,นางมลธิชา ไชยบาล,กล้าธรรม,8,นายบัณฑิต สุรินเปา,ไทยก้าวหน้า,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
เชียงราย,7,เชียงราย.07,1,ร้อยตำรวจเอก ดอน สมควร,ประชาธิปัตย์,2,นายสุทัศน์ ยาละ,ประชาชน,3,นายเสกสรรค์ เชื้อเมืองพาน,ภูมิใจไทย,4,นายบุญเกิด ร่องแก้ว,รวมไทยสร้างชาติ,5,นายเสรี วังแง่,พลวัต,6,นายสุธีระพงษ์ วันไชยธนวงศ์,กล้าธรรม,7,นางสาวมิรันตี บุญแก้ว,โอกาสใหม่,8,นายสง่า พรมเมือง,เพื่อไทย,9,นางสาวอรทัย บัวศรี,ประชากรไทย,10,นายทนงศักดิ์ ศรีทองจันทร์,เศรษฐกิจ,,,,,,,,,,,,,,,,,,,,,,,,,,,
